anno_vigencia,mes_vigencia,tipo_carga,sum_importacion,sum_exportacion,sum_transbordo
2023,11,GENERAL,131368,646,0
2023,11,GRANEL LIQUIDO,23024,9343,0
2023,11,GRANEL SOLIDO DIFER. DE CARBON,347602,49500,0
2023,12,CARBON AL GRANEL,0,156678,0
2023,12,CONTENEDORES,615550,248030,105536
2023,12,GENERAL,105165,574,469
2023,12,GRANEL LIQUIDO,43503,0,0
2023,12,GRANEL SOLIDO DIFER. DE CARBON,464440,139550,0
2024,1,CARBON AL GRANEL,0,15270,0
2024,1,CONTENEDORES,511419,207414,140821
2024,1,GENERAL,105033,0,123
2024,1,GRANEL LIQUIDO,18169,0,0
2024,1,GRANEL SOLIDO DIFER. DE CARBON,419031,0,0
2024,2,CARBON AL GRANEL,0,192610,0
2024,2,CONTENEDORES,580542,268966,77514
2024,2,GENERAL,116884,235,760
2024,2,GRANEL LIQUIDO,43019,9310,0
2024,2,GRANEL SOLIDO DIFER. DE CARBON,324020,0,0
2024,3,CARBON AL GRANEL,0,97900,0
2024,3,CONTENEDORES,515560,258227,76792
2024,3,GENERAL,76552,6026,4267
2024,3,GRANEL LIQUIDO,40068,0,0
2024,3,GRANEL SOLIDO DIFER. DE CARBON,609032,10300,0
2024,4,CARBON AL GRANEL,0,129800,0
2024,4,CONTENEDORES,562492,252812,108565
2024,4,GENERAL,136426,62,3280
2024,4,GRANEL LIQUIDO,37761,12419,0
2024,4,GRANEL SOLIDO DIFER. DE CARBON,387147,0,0
2024,5,CARBON AL GRANEL,0,104400,0
2024,5,CONTENEDORES,608654,229470,42200
2024,5,GENERAL,142712,87,0
2024,5,GRANEL LIQUIDO,43761,0,0
2024,5,GRANEL SOLIDO DIFER. DE CARBON,465730,0,0
2024,6,CARBON AL GRANEL,0,74640,0
2024,6,CONTENEDORES,585018,285133,53781
2024,6,GENERAL,157396,0,608
2024,6,GRANEL LIQUIDO,37303,0,0
2024,6,GRANEL SOLIDO DIFER. DE CARBON,541165,0,0
2024,7,CARBON AL GRANEL,0,110000,0
2024,7,CONTENEDORES,555836,252161,66026
2024,7,GENERAL,142284,311,3073
2024,7,GRANEL LIQUIDO,35523,0,0
2024,7,GRANEL SOLIDO DIFER. DE CARBON,321051,10376,0
2024,8,CARBON AL GRANEL,0,0,0
2024,8,CONTENEDORES,639348,285948,154019
2024,8,GENERAL,168351,108,2447
2024,8,GRANEL LIQUIDO,41756,8790,0
2024,8,GRANEL SOLIDO DIFER. DE CARBON,448020,0,0
2024,9,CARBON AL GRANEL,0,165550,0
2024,9,CONTENEDORES,584528,292392,149595
2024,9,GENERAL,154511,120,6677
2024,9,GRANEL LIQUIDO,54824,0,0
2024,9,GRANEL SOLIDO DIFER. DE CARBON,398586,9200,0
2024,10,CARBON AL GRANEL,0,67964,0
2024,10,CONTENEDORES,621116,259849,112213
2024,10,GENERAL,118018,160,4507
2024,10,GRANEL LIQUIDO,57573,14997,0
2024,10,GRANEL SOLIDO DIFER. DE CARBON,381991,0,0
2024,11,CARBON AL GRANEL,0,111035,0
2024,11,CONTENEDORES,798997,341349,147257
2024,11,GENERAL,159565,179,2631
2024,11,GRANEL LIQUIDO,55573,0,0
2024,11,GRANEL SOLIDO DIFER. DE CARBON,466417,0,0
2024,12,CARBON AL GRANEL,0,0,0
2024,12,CONTENEDORES,830296,352204,167711
2024,12,GENERAL,133368,237,0
2024,12,GRANEL LIQUIDO,15084,0,0
2024,12,GRANEL SOLIDO DIFER. DE CARBON,452524,9500,0
2025,1,CARBON AL GRANEL,0,104645,0
2025,1,CONTENEDORES,894785,275483,168421
2025,1,GENERAL,222646,263,0
2025,1,GRANEL LIQUIDO,57482,9500,0
2025,1,GRANEL SOLIDO DIFER. DE CARBON,498668,0,0
2025,2,CARBON AL GRANEL,0,0,0
2025,2,CONTENEDORES,652793,253530,115523
2025,2,GENERAL,144317,17923,0
2025,2,GRANEL LIQUIDO,46796,0,0
2025,2,GRANEL SOLIDO DIFER. DE CARBON,417409,0,0
2025,3,CARBON AL GRANEL,0,100000,0
2025,3,CONTENEDORES,644145,249890,124397
2025,3,GENERAL,86170,86,0
2025,3,GRANEL LIQUIDO,51695,9527,0
2025,3,GRANEL SOLIDO DIFER. DE CARBON,584223,9250,0
2025,4,CARBON AL GRANEL,0,60200,0
2025,4,CONTENEDORES,702277,156767,91206
2025,4,GENERAL,152800,97,0
2025,4,GRANEL LIQUIDO,46942,0,0
2025,4,GRANEL SOLIDO DIFER. DE CARBON,620001,0,0
2025,5,CARBON AL GRANEL,0,29703,0
2025,5,CONTENEDORES,784063,231738,120164
2025,5,GENERAL,163184,50,0
2025,5,GRANEL LIQUIDO,52076,0,0
2025,5,GRANEL SOLIDO DIFER. DE CARBON,451426,0,0
2025,6,CARBON AL GRANEL,0,55000,0
2025,6,CONTENEDORES,715645,254048,123721
2025,6,GENERAL,176370,0,0
2025,6,GRANEL LIQUIDO,65651,0,0
2025,6,GRANEL SOLIDO DIFER. DE CARBON,645123,8602,0
2025,7,CARBON AL GRANEL,0,122446,0
2025,7,CONTENEDORES,765918,257001,109194
2025,7,GENERAL,123976,379,0
2025,7,GRANEL LIQUIDO,17785,9500,0
2025,7,GRANEL SOLIDO DIFER. DE CARBON,409631,0,0
2025,8,CARBON AL GRANEL,0,0,0
2025,8,CONTENEDORES,784754,283867,118021
2025,8,GENERAL,160325,838,0
2025,8,GRANEL LIQUIDO,66634,0,0
2025,8,GRANEL SOLIDO DIFER. DE CARBON,500068,0,0
2025,9,CARBON AL GRANEL,0,58670,0
2025,9,CONTENEDORES,753927,296759,110060
2025,9,GENERAL,200590,57,0
2025,9,GRANEL LIQUIDO,69039,11444,0
2025,9,GRANEL SOLIDO DIFER. DE CARBON,394493,0,0
2025,10,CARBON AL GRANEL,0,55000,0
2025,10,CONTENEDORES,800365,271326,108865
2025,10,GENERAL,140407,20,0
2025,10,GRANEL LIQUIDO,45245,10097,0
2025,10,GRANEL SOLIDO DIFER. DE CARBON,446498,8000,0
2025,11,CARBON AL GRANEL,0,54232,0
2025,11,CONTENEDORES,709908,270857,98331
2025,11,GENERAL,167142,25000,0
2025,11,GRANEL LIQUIDO,53120,3512,0
2025,11,GRANEL SOLIDO DIFER. DE CARBON,422040,0,0
2025,12,CARBON AL GRANEL,0,156215,0
2025,12,CONTENEDORES,851012,275854,72584
2025,12,GENERAL,83735,125,0
2025,12,GRANEL LIQUIDO,58697,16764,0
2025,12,GRANEL SOLIDO DIFER. DE CARBON,463914,0,0
2026,1,CARBON AL GRANEL,0,60400,0
2026,1,CONTENEDORES,736785,206015,75008
2026,1,GENERAL,218226,11,0
2026,1,GRANEL LIQUIDO,24737,10834,0
2026,1,GRANEL SOLIDO DIFER. DE CARBON,319544,6900,0
2026,2,CARBON AL GRANEL,0,84072,0
2026,2,CONTENEDORES,729829,263624,85368
2026,2,GENERAL,125627,0,0
2026,2,GRANEL LIQUIDO,46063,1010,0
2026,2,GRANEL SOLIDO DIFER. DE CARBON,528701,0,0
2026,3,CARBON AL GRANEL,0,60500,0
2026,3,CONTENEDORES,706432,259224,98735
2026,3,GENERAL,195142,17,0
2026,3,GRANEL LIQUIDO,48915,0,0
2026,3,GRANEL SOLIDO DIFER. DE CARBON,540846,4000,0
2026,4,CARBON AL GRANEL,0,116250,0
2026,4,CONTENEDORES,687770,240043,82304
2026,4,GENERAL,165516,0,0
2026,4,GRANEL LIQUIDO,51409,11212,0
2026,4,GRANEL SOLIDO DIFER. DE CARBON,447796,0,0
2026,5,CARBON AL GRANEL,0,60500,0
2026,5,CONTENEDORES,858599,223476,71750
2026,5,GENERAL,165354,231,0
2026,5,GRANEL LIQUIDO,50033,1511,0
2026,5,GRANEL SOLIDO DIFER. DE CARBON,315638,0,0
2026,6,CARBON AL GRANEL,0,56020,0
2026,6,CONTENEDORES,711287,268409,53016
2026,6,GENERAL,207237,0,0
2026,6,GRANEL LIQUIDO,26109,9526,0
2026,6,GRANEL SOLIDO DIFER. DE CARBON,510649,5500,0
